TABLE AGENCIES,,,,,,,
agency_id,agency_name,agency_type,distribution_channel,,,,
5848,5,6,No,76,Japan,45,0.00
5849,5,6,No,139,United Kingdom,59,0.00
5850,5,6,No,18,Singapore,97,0.00
5851,5,6,No,36,Australia,20,0.00
5852,5,6,No,69,Hong Kong,20,0.00
5853,5,6,No,75,Australia,39,0.00
5854,5,6,No,82,Malaysia,20,0.00
5855,5,6,No,8,Malaysia,20,0.00
5856,5,6,No,23,Indonesia,45,0.00
5857,5,6,No,16,Thailand,20,0.00
5858,5,6,No,139,Malaysia,20,0.00
5859,5,6,No,23,Indonesia,45,0.00
5860,5,6,No,28,Myanmar,20,0.00
5861,5,6,No,14,Thailand,20,0.00
5862,5,6,No,14,Hong Kong,20,0.00
5863,5,6,No,6,Philippines,20,0.00
5864,5,6,No,179,Lao,59,0.00
5865,5,6,No,7,Thailand,20,0.00
5866,5,6,No,33,Thailand,20,0.00
5867,5,6,No,13,Singapore,20,0.00
5868,5,6,No,52,Myanmar,20,0.00
5869,5,6,No,39,United Kingdom,85,0.00
5870,5,6,No,5,Indonesia,38,0.00
5871,5,6,No,16,Thailand,33,0.00
5872,5,6,No,11,Hong Kong,65,0.00
5873,5,6,No,10,China,44,0.00
5874,5,6,No,5,Indonesia,20,0.00
5875,5,6,No,71,Philippines,20,0.00
5876,5,6,No,79,France,79,0.00
5877,5,6,No,11,United Arab Emirates,52,0.00
5878,5,6,No,6,Cambodia,20,0.00
5879,5,10,No,16,Thailand,50,0.00
5880,5,10,No,11,Italy,10,0.00
5881,5,10,No,12,Australia,16,0.00
5882,5,10,No,23,Thailand,34,0.00
5883,5,10,No,187,Singapore,39,0.00
5884,5,10,No,13,Myanmar,19,0.00
5885,5,10,No,13,Lao,10,0.00
5886,5,10,No,10,Myanmar,16,0.00
5887,5,10,No,111,Hong Kong,16,0.00
5888,5,10,No,33,Thailand,14,0.00
5889,5,10,No,8,India,11,0.00
5890,5,10,No,6,China,43,0.00
5891,5,10,No,14,India,15,0.00
5892,5,10,No,10,Australia,54,0.00
5893,5,10,No,21,Singapore,10,0.00
5894,5,10,No,119,United Kingdom,80,0.00
5895,5,10,No,69,Philippines,12,0.00
5896,5,10,No,122,France,68,0.00
5897,5,10,No,12,Thailand,10,0.00
5898,5,10,No,54,Thailand,20,0.00
5899,5,10,No,71,Maldives,80,0.00
5900,5,10,No,13,Korea,57,0.00
5901,5,10,No,122,France,68,0.00
5902,5,10,No,6,Hong Kong,17,0.00
5903,5,10,No,13,Thailand,10,0.00
5904,5,10,No,40,India,18,0.00
5905,5,10,No,5,Vietnam,24,0.00
5906,5,10,No,42,Philippines,10,0.00
5907,5,10,No,17,Indonesia,10,0.00
5908,5,10,No,4,Sri Lanka,16,0.00
5909,5,10,No,48,Indonesia,14,0.00
5910,5,10,No,26,Poland,73,0.00
5911,5,10,No,33,Hong Kong,0,0.00
5912,5,10,No,6,Singapore,10,0.00
5913,5,10,No,187,Indonesia,20,0.00
5914,5,10,No,73,China,25,0.00
5915,5,10,No,73,China,25,0.00
5916,5,10,No,7,Macao,18,0.00
5917,5,10,No,8,China,10,0.00
5918,5,10,No,4,Australia,10,0.00
5919,5,10,No,114,United States,80,0.00
5920,5,10,No,169,Canada,0,0.00
5921,5,10,No,169,United States,0,0.00
5922,5,10,No,56,Thailand,28,0.00
5923,5,10,No,5,Hong Kong,19,0.00
5924,5,10,No,26,United Kingdom,80,0.00
5925,5,10,No,6,Malaysia,10,0.00
5926,5,10,No,87,Myanmar,11,0.00
5927,5,10,No,12,Australia,59,0.00
5928,5,10,No,6,Thailand,20,0.00
5929,5,10,No,20,Indonesia,12,0.00
5930,5,10,No,41,Indonesia,13,0.00
5931,5,10,No,19,Thailand,10,0.00
5932,5,10,No,9,Australia,10,0.00
5933,5,10,No,28,Thailand,52,0.00
5934,5,10,No,17,Vietnam,10,0.00
5935,5,10,No,21,China,20,0.00
5936,5,10,No,71,Vietnam,19,0.00
5937,5,10,No,5,Thailand,20,0.00
5938,5,11,No,4,Vietnam,20,0.00
5939,5,11,No,30,Korea,20,0.00
5940,5,11,No,10,Vietnam,20,0.00
5941,5,11,No,45,United States,20,0.00
5942,5,11,No,2,United States,67,0.00
5943,5,11,No,6,Australia,38,0.00
5944,5,11,No,2,Malaysia,0,0.00
5945,5,11,No,8,Vietnam,20,0.00
5946,7,3,No,0,India,62,24.80
5947,7,3,No,8,India,39,15.60
5948,4,3,No,96,Indonesia,33,12.54
5949,4,3,No,27,Indonesia,22,8.36
5950,4,5,No,5,Indonesia,29,11.02
5951,8,3,No,16,Brunei Darussalam,15,6.00
5952,8,3,No,21,Brunei Darussalam,15,6.00
5953,8,3,No,9,Brunei Darussalam,23,9.20
5954,8,3,No,9,Brunei Darussalam,15,6.00
5955,8,3,No,9,Brunei Darussalam,15,6.00
5956,9,12,No,17,Singapore,5,1.51
5957,9,12,No,71,Singapore,5,1.27
5958,9,12,No,19,Singapore,8,2.36
5959,3,4,No,10,Thailand,18,6.30
5960,3,4,No,27,Hong Kong,26,9.10
5961,3,4,No,38,Indonesia,18,6.30
5962,3,4,No,31,Malaysia,18,6.30
5963,3,4,No,33,China,35,12.25
5964,3,4,No,5,Taiwan,26,9.10
5965,3,4,No,17,Thailand,22,7.70
5966,3,4,No,28,Taiwan,26,9.10
5967,3,4,No,7,Malaysia,18,6.30
5968,3,4,No,31,Thailand,52,18.20
5969,3,4,No,15,Thailand,22,7.70
5970,3,4,No,11,Philippines,30,10.50
5971,3,4,No,61,Philippines,30,10.50
5972,3,4,No,97,Philippines,37,12.95
5973,3,4,Yes,12,Vietnam,30,10.50
5974,3,4,No,30,China,26,9.10
5975,3,4,No,25,Australia,22,7.70
5976,3,4,No,11,Hong Kong,26,9.10
5977,3,3,No,15,United Kingdom,109,38.15
5978,3,3,No,82,Canada,96,33.60
5979,12,1,No,6,Thailand,29,9.57
5980,12,1,No,6,Thailand,29,9.57
5981,12,1,No,6,Thailand,29,9.57
5982,12,1,No,5,Thailand,29,9.57
5983,12,1,No,5,Thailand,29,9.57
5984,13,3,No,62,Russian Federation,206,78.28
5985,10,13,No,9,Myanmar,12,4.20
5986,6,7,No,15,Singapore,18,4.39
5987,6,7,No,15,Singapore,18,4.39
5988,6,7,No,13,Singapore,31,7.64
5989,6,7,No,48,Singapore,70,17.39
5990,6,7,No,5,Singapore,23,5.85
5991,6,7,No,10,Singapore,18,4.39
5992,6,7,No,10,Singapore,18,4.39
5993,6,7,No,12,Singapore,38,9.59
5994,6,7,No,20,Singapore,45,11.21
5995,6,8,No,6,Singapore,24,6.01
5996,6,8,No,13,Singapore,26,6.47
5997,6,9,Yes,364,Singapore,253,63.21
5998,2,2,No,178,Greece,69,41.58
5999,2,2,No,8,Japan,30,17.82
6000,2,2,No,55,Australia,89,53.46
6001,2,2,No,53,Malaysia,30,17.82
6002,2,2,No,11,Malaysia,30,17.82
6003,2,2,No,10,Malaysia,20,11.88
6004,2,2,No,75,Malaysia,30,17.82
6005,2,2,No,11,Malaysia,0,17.82
6006,2,2,No,31,New Zealand,129,77.22
6007,2,2,No,10,United Kingdom,89,53.46
6008,2,2,No,139,Japan,69,41.58
6009,2,2,No,70,Canada,69,41.58
6010,2,2,No,163,Spain,0,11.88
6011,2,2,No,60,United States,30,17.82
6012,2,2,No,5,Australia,10,5.94
6013,2,2,No,120,Switzerland,0,47.52
6014,2,2,No,25,Philippines,10,5.94
6015,2,2,No,119,Malaysia,50,29.70
6016,2,2,No,17,Malaysia,30,17.82
6017,2,2,No,60,Malaysia,20,11.88
6018,2,2,No,34,Ireland,30,17.82
6019,2,2,No,66,Australia,40,23.76
6020,2,2,No,157,Spain,0,11.88
6021,2,2,No,2,United States,20,11.88
6022,5,6,No,144,Hong Kong,112,0.00
6023,5,6,No,9,Malaysia,20,0.00
6024,5,6,No,10,Malaysia,20,0.00
6025,5,6,No,8,Philippines,20,0.00
6026,5,6,No,35,Indonesia,20,0.00
6027,5,6,No,26,United States,112,0.00
6028,5,6,No,16,Thailand,20,0.00
6029,5,6,No,34,Thailand,28,0.00
6030,5,6,No,25,Germany,112,0.00
6031,5,6,No,20,Vietnam,20,0.00
6032,5,6,No,9,China,56,0.00
6033,5,6,No,3,Malaysia,20,0.00
6034,5,6,No,13,United States,81,0.00
6035,5,6,No,46,Indonesia,20,0.00
6036,5,6,No,30,Singapore,39,0.00
6037,5,6,No,82,Malaysia,20,0.00
6038,5,6,No,8,Malaysia,20,0.00
6039,5,6,No,31,Philippines,20,0.00
6040,5,6,No,67,United States,112,0.00
6041,5,6,No,31,United States,81,0.00
6042,5,6,No,46,Taiwan,39,0.00
6043,5,6,No,25,Indonesia,20,0.00
6044,5,6,No,16,Vietnam,49,0.00
6045,5,6,No,57,India,23,0.00
6046,5,6,No,48,India,23,0.00
6047,5,6,No,26,Thailand,20,0.00
6048,5,6,No,39,Korea,61,0.00
6049,5,6,No,41,United States,112,0.00
6050,5,6,No,12,Hong Kong,24,0.00
6051,5,6,No,90,Australia,59,0.00
6052,5,6,No,67,United Kingdom,59,0.00
6053,5,6,No,40,Indonesia,20,0.00
6054,5,6,No,14,Japan,0,0.00
6055,5,6,No,15,Philippines,20,0.00
6056,5,6,No,27,Indonesia,20,0.00
6057,5,6,No,243,Canada,112,0.00
6058,5,6,No,243,Canada,112,0.00
6059,5,6,No,9,Singapore,20,0.00
6060,5,6,No,27,Indonesia,20,0.00
6061,5,6,No,3,Indonesia,20,0.00
6062,5,6,No,25,Singapore,39,0.00
6063,5,6,No,42,Philippines,57,0.00
6064,5,6,No,11,Thailand,28,0.00
6065,5,6,No,11,Singapore,20,0.00
6066,5,6,No,21,Vietnam,20,0.00
6067,5,6,No,12,Thailand,40,0.00
6068,5,6,No,25,United States,101,0.00
6069,5,6,No,18,Singapore,20,0.00
6070,5,10,No,5,China,28,0.00
6071,5,10,No,23,Vietnam,50,0.00
6072,5,10,No,34,Australia,33,0.00
6073,5,10,No,12,Indonesia,10,0.00
6074,5,10,No,6,Malaysia,10,0.00
6075,5,10,No,37,China,24,0.00
6076,5,10,No,26,Thailand,24,0.00
6077,5,10,No,27,Singapore,10,0.00
6078,5,10,No,3,Singapore,15,0.00
6079,5,10,No,30,Singapore,10,0.00
6080,5,10,No,1,Australia,10,0.00
6081,5,10,No,2,Singapore,10,0.00
6082,5,10,No,63,Taiwan,12,0.00
6083,5,10,No,8,Malaysia,10,0.00
6084,5,10,No,49,United States,10,0.00
6085,5,10,No,52,United States,18,0.00
6086,5,10,No,55,United States,22,0.00
6087,5,10,No,5,Singapore,19,0.00
6088,5,10,No,76,Taiwan,10,0.00
6089,5,10,No,53,Thailand,14,0.00
6090,5,10,No,15,China,30,0.00
6091,5,10,No,43,Myanmar,10,0.00
6092,5,10,No,16,Taiwan,10,0.00
6093,5,10,No,152,Lithuania,59,0.00
6094,5,10,No,32,Hong Kong,28,0.00
6095,5,10,No,7,Singapore,10,0.00
6096,5,10,No,5,Philippines,12,0.00
6097,5,10,No,12,Singapore,29,0.00
6098,5,10,No,5,Hong Kong,12,0.00
6099,5,10,No,3,Thailand,10,0.00
6100,5,10,No,91,Vietnam,14,0.00
6101,5,10,No,67,Indonesia,10,0.00
6102,5,10,No,67,Netherlands,70,0.00
6103,5,10,No,67,Netherlands,70,0.00
6104,5,10,No,4,Philippines,17,0.00
6105,5,10,No,77,United Kingdom,56,0.00
6106,5,10,No,59,Japan,80,0.00
6107,5,10,No,25,Korea,10,0.00
6108,5,10,No,12,Thailand,18,0.00
6109,5,10,No,22,Thailand,10,0.00
6110,5,10,No,2,Netherlands,26,0.00
6111,5,10,No,16,Singapore,29,0.00
6112,5,10,No,6,China,26,0.00
6113,5,10,No,39,Korea,25,0.00
6114,5,10,No,8,Malaysia,10,0.00
6115,5,10,No,55,Malaysia,10,0.00
6116,5,10,No,6,Thailand,28,0.00
6117,5,10,No,68,Vietnam,10,0.00
6118,5,10,No,11,Malaysia,10,0.00
6119,5,10,No,86,United States,10,0.00
6120,5,10,No,17,China,54,0.00
6121,5,10,No,15,United States,46,0.00
6122,5,10,No,7,Vietnam,27,0.00
6123,5,10,No,9,Japan,80,0.00
6124,5,10,No,34,Denmark,80,0.00
6125,5,10,No,2,Thailand,30,0.00
6126,5,10,No,2,Thailand,19,0.00
6127,5,10,No,19,Hong Kong,40,0.00
6128,5,10,No,13,Thailand,10,0.00
6129,5,10,No,244,Switzerland,80,0.00
6130,5,10,No,15,Korea,59,0.00
6131,5,10,No,5,Indonesia,10,0.00
6132,5,10,No,2,Indonesia,10,0.00
6133,5,10,No,213,Italy,60,0.00
6134,5,10,No,33,Japan,37,0.00
6135,5,10,No,39,Indonesia,24,0.00
6136,5,10,No,26,Thailand,12,0.00
6137,5,10,No,9,Malaysia,10,0.00
6138,5,10,No,4,Malaysia,10,0.00
6139,5,10,No,11,China,32,0.00
6140,5,10,No,62,United States,80,0.00
6141,5,10,No,16,Vietnam,0,0.00
6142,5,10,No,9,Thailand,10,0.00
6143,5,10,No,32,United Kingdom,72,0.00
6144,5,11,No,49,Indonesia,20,0.00
6145,5,11,No,16,Mongolia,34,0.00
6146,5,11,No,6,Cambodia,20,0.00
6147,5,11,No,2,Malaysia,20,0.00
6148,5,11,No,65,Australia,36,0.00
6149,5,11,No,12,Netherlands,20,0.00
6150,5,11,No,3,Korea,32,0.00
6151,5,11,No,57,China,21,0.00
6152,5,11,No,9,Thailand,20,0.00
6153,5,11,No,43,Australia,26,0.00
6154,5,11,No,136,United States,20,0.00
6155,5,11,No,7,Philippines,20,0.00
6156,5,11,No,17,Hong Kong,20,0.00
6157,5,11,No,2,Thailand,42,0.00
6158,7,3,No,56,India,39,15.60
6159,7,3,No,10,India,50,20.00
6160,4,3,No,19,Ireland,95,36.10
6161,4,3,No,26,Indonesia,22,8.36
6162,4,3,No,33,Indonesia,28,10.64
6163,4,5,No,33,Indonesia,38,14.44
6164,8,3,No,6,Brunei Darussalam,15,6.00
6165,8,3,No,9,Brunei Darussalam,15,6.00
6166,8,3,No,39,Brunei Darussalam,42,16.80
6167,8,3,No,12,Brunei Darussalam,23,9.20
6168,9,12,No,99,Singapore,11,3.15
6169,9,12,No,25,Singapore,7,1.82
6170,9,12,No,11,Singapore,13,3.55
6171,3,4,No,94,Taiwan,26,9.10
6172,3,4,No,0,Thailand,18,6.30
6173,3,4,No,6,Hong Kong,26,9.10
6174,3,4,No,32,Taiwan,26,9.10
6175,3,4,No,12,Thailand,22,7.70
6176,3,4,No,48,Indonesia,42,14.70
6177,3,4,No,46,China,35,12.25
6178,3,4,No,5,China,22,7.70
6179,3,4,No,53,Thailand,22,7.70
6180,3,4,No,11,Thailand,22,7.70
6181,3,4,No,12,Indonesia,18,6.30
6182,3,4,No,22,Hong Kong,26,9.10
6183,3,4,No,11,Indonesia,18,6.30
6184,3,4,No,2,Indonesia,18,6.30
6185,3,4,No,19,Vietnam,22,7.70
6186,3,4,No,11,Indonesia,18,6.30
6187,3,4,No,10,Philippines,22,7.70
6188,3,4,No,4,Thailand,22,7.70
6189,3,4,No,33,Philippines,58,20.30
6190,3,4,No,41,Vietnam,52,18.20
6191,3,4,No,5,Indonesia,18,6.30
6192,3,4,No,37,Taiwan,69,24.15
6193,3,4,No,7,Thailand,22,7.70
6194,3,3,No,28,Australia,45,15.75
6195,3,3,No,6,Taiwan,45,15.75
6196,3,3,No,14,Australia,45,15.75
6197,3,3,No,81,Korea,45,15.75
6198,11,1,No,35,Thailand,29,9.57
6199,11,1,No,49,Malaysia,29,9.57
6200,11,1,No,49,Malaysia,29,9.57
6201,12,1,No,4,Thailand,29,9.57
6202,10,3,No,27,Nepal,40,14.00
6203,6,7,No,10,Singapore,33,8.22
6204,6,7,No,10,Singapore,33,8.22
6205,6,7,No,85,Singapore,31,7.64
6206,6,7,No,15,Singapore,22,5.53
6207,6,7,No,8,Singapore,31,7.64
6208,6,7,No,7,Singapore,18,4.39
6209,6,7,No,23,Singapore,31,7.64
6210,6,8,No,32,Singapore,24,6.01
6211,6,8,Yes,16,Singapore,83,20.64
6212,6,9,No,417,Singapore,253,63.21
6213,6,9,No,365,Singapore,272,68.08
6214,6,9,No,365,Singapore,301,75.25
6215,2,2,No,12,Norway,40,23.76
6216,2,2,No,65,Italy,119,71.28
6217,2,2,No,8,United Kingdom,40,23.76
6218,2,2,No,27,Australia,0,23.76
6219,2,2,No,8,United States,50,29.70
6220,2,2,No,23,Malaysia,50,29.70
6221,2,2,No,9,Malaysia,0,17.82
6222,2,2,No,30,United States,0,160.38
6223,2,2,No,42,Germany,79,47.52
6224,2,2,No,9,Australia,69,41.58
6225,2,2,No,26,Australia,59,35.64
6226,2,2,No,6,United Arab Emirates,30,17.82
6227,2,2,No,60,United Kingdom,30,17.82
6228,2,2,No,10,United Kingdom,0,41.58
6229,2,2,No,89,Australia,119,71.28
6230,2,2,No,7,United Kingdom,40,23.76
6231,2,2,No,36,Australia,69,41.58
6232,2,2,No,84,Australia,59,35.64
6233,2,2,No,3,Malaysia,20,11.88
6234,2,2,No,14,Australia,30,17.82
6235,2,2,No,331,Malaysia,0,17.82
6236,2,2,No,117,Spain,178,106.92
6237,5,6,No,32,China,37,0.00
6238,5,6,No,3,Thailand,20,0.00
6239,5,6,No,14,Vietnam,54,0.00
6240,5,6,No,21,Thailand,25,0.00
6241,5,6,No,7,Philippines,32,0.00
6242,5,6,No,8,Malaysia,20,0.00
6243,5,6,No,66,Hong Kong,21,0.00
6244,5,6,No,7,Philippines,20,0.00
6245,5,6,No,242,Canada,112,0.00
6246,5,6,No,206,Australia,30,0.00
6247,5,6,No,20,Hong Kong,21,0.00
6248,5,6,No,6,China,39,0.00
6249,5,6,No,18,Singapore,112,0.00
6250,5,6,No,96,United States,85,0.00
6251,5,6,No,19,Hong Kong,20,0.00
6252,5,6,No,27,Hong Kong,22,0.00
6253,5,6,No,7,Lao,32,0.00
6254,5,6,No,55,Philippines,20,0.00
6255,5,6,No,45,Philippines,20,0.00
6256,5,6,No,8,Malaysia,26,0.00
6257,5,6,No,61,Korea,67,0.00
6258,5,6,No,9,Thailand,20,0.00
6259,5,6,No,38,Indonesia,20,0.00
6260,5,6,No,50,Thailand,20,0.00
6261,5,6,No,21,Korea,83,0.00
6262,5,6,No,12,United States,99,0.00
6263,5,6,No,25,United States,112,0.00
6264,5,6,No,138,Korea,28,0.00
6265,5,6,No,9,Malaysia,20,0.00
6266,5,6,No,10,Sri Lanka,39,0.00
6267,5,6,No,64,China,36,0.00
6268,5,6,No,45,Thailand,24,0.00
6269,5,6,Yes,52,Costa Rica,112,0.00
6270,5,6,No,80,France,112,0.00
6271,5,6,No,15,China,44,0.00
6272,5,6,No,7,Indonesia,60,0.00
6273,5,6,No,13,Philippines,28,0.00
6274,5,6,No,5,Indonesia,24,0.00
6275,5,6,No,82,Indonesia,20,0.00
6276,5,6,No,15,China,40,0.00
6277,5,6,No,20,Indonesia,20,0.00
6278,5,6,No,4,Myanmar,26,0.00
6279,5,6,No,83,United States,112,0.00
6280,5,6,No,39,Philippines,20,0.00
6281,5,6,No,4,Hong Kong,24,0.00
6282,5,6,No,67,Thailand,22,0.00
6283,5,6,No,9,Lao,34,0.00
6284,5,6,No,17,Malaysia,20,0.00
6285,5,6,No,17,Indonesia,22,0.00
6286,5,6,No,43,Japan,38,0.00
6287,5,6,No,9,Malaysia,20,0.00
6288,5,6,No,9,Malaysia,20,0.00
6289,5,6,No,89,China,36,0.00
6290,5,6,No,40,United States,81,0.00
6291,5,6,No,69,United States,76,0.00
6292,5,10,No,14,Thailand,10,0.00
6293,5,10,No,3,Hong Kong,29,0.00
6294,5,10,No,23,Macao,27,0.00
6295,5,10,No,18,China,19,0.00
6296,5,10,No,4,Hong Kong,15,0.00
6297,5,10,No,24,Taiwan,22,0.00
6298,5,10,No,10,Lao,14,0.00
6299,5,10,No,49,Korea,57,0.00
6300,5,10,No,61,Philippines,12,0.00
6301,5,10,No,24,Thailand,10,0.00
6302,5,10,No,201,Spain,10,0.00
6303,5,10,No,24,Malaysia,11,0.00
6304,5,10,No,38,Vietnam,14,0.00
6305,5,10,No,20,Philippines,18,0.00
6306,5,10,No,158,Korea,29,0.00
6307,5,10,No,50,Taiwan,10,0.00
6308,5,10,No,41,Indonesia,10,0.00
6309,5,10,No,9,Indonesia,10,0.00
6310,5,10,No,61,Philippines,18,0.00
6311,5,10,No,17,Singapore,15,0.00
6312,5,10,No,24,Philippines,21,0.00
6313,5,10,No,52,Singapore,21,0.00
6314,5,10,No,8,United Arab Emirates,66,0.00
6315,5,10,No,7,Philippines,11,0.00
6316,5,10,No,4,Saudi Arabia,15,0.00
6317,5,10,No,36,Taiwan,47,0.00
6318,5,10,No,7,United Arab Emirates,21,0.00
6319,5,10,No,14,Vietnam,80,0.00
6320,5,10,No,9,Malaysia,10,0.00
6321,5,10,No,25,Hong Kong,27,0.00
6322,5,10,No,32,Taiwan,10,0.00
6323,5,10,No,8,Russian Federation,11,0.00
6324,5,10,No,14,China,25,0.00
6325,5,10,No,11,India,32,0.00
6326,5,10,No,4,Thailand,15,0.00
6327,5,10,No,35,Vietnam,10,0.00
6328,5,10,No,32,Indonesia,10,0.00
6329,5,10,No,135,United Kingdom,62,0.00
6330,5,10,No,177,Switzerland,59,0.00
6331,5,10,No,32,Indonesia,10,0.00
6332,5,10,No,32,Indonesia,10,0.00
6333,5,10,No,32,Indonesia,10,0.00
6334,5,10,No,16,China,37,0.00
6335,5,10,No,6,Singapore,14,0.00
6336,5,10,No,22,Australia,80,0.00
6337,5,10,No,28,Brunei Darussalam,24,0.00
6338,5,10,No,1,United States,18,0.00
6339,5,10,No,14,Germany,44,0.00
6340,5,10,No,38,Thailand,43,0.00
6341,5,10,No,7,China,34,0.00
6342,5,10,No,57,Vietnam,42,0.00
6343,5,10,No,36,Hong Kong,19,0.00
6344,5,10,No,28,Japan,68,0.00
6345,5,10,No,242,Korea,75,0.00
6346,5,10,No,24,Sweden,32,0.00
6347,5,10,No,2,Indonesia,10,0.00
6348,5,10,No,17,United States,16,0.00
6349,5,10,No,8,Thailand,40,0.00
6350,5,10,No,53,Philippines,12,0.00
6351,5,10,No,12,Malaysia,10,0.00
6352,5,10,No,29,Saudi Arabia,36,0.00
6353,5,10,No,43,Saudi Arabia,96,0.00
6354,5,10,No,59,Indonesia,16,0.00
6355,5,10,No,14,Singapore,10,0.00
6356,5,10,No,204,Australia,13,0.00
6357,5,10,No,27,Thailand,10,0.00
6358,5,10,No,17,Thailand,12,0.00
6359,5,10,No,54,United States,55,0.00
6360,5,10,No,7,Australia,41,0.00
6361,5,10,No,25,Singapore,75,0.00
6362,5,11,No,29,United States,20,0.00
6363,5,11,No,11,Singapore,20,0.00
6364,5,11,No,35,United States,20,0.00
6365,5,11,No,9,Indonesia,20,0.00
6366,5,11,No,32,Singapore,30,0.00
6367,5,11,No,21,Japan,21,0.00
6368,5,11,No,2,Thailand,20,0.00
6369,5,11,No,239,Korea,45,0.00
6370,4,3,No,10,Indonesia,28,10.64
6371,8,3,No,15,Brunei Darussalam,15,6.00
6372,9,12,No,82,Singapore,8,2.20
6373,9,12,No,3,Singapore,7,2.02
6374,9,12,No,16,Singapore,21,5.98
6375,3,4,No,194,Japan,35,12.25
6376,3,4,No,194,Japan,35,12.25
6377,3,4,No,23,Thailand,22,7.70
6378,3,4,No,52,Indonesia,22,7.70
6379,3,4,No,66,Malaysia,22,7.70
6380,3,4,No,11,Thailand,22,7.70
6381,3,4,No,86,Hong Kong,0,22.05
6382,3,4,No,37,Vietnam,22,7.70
6383,3,4,No,52,Indonesia,22,7.70
6384,3,4,No,36,Hong Kong,26,9.10
6385,3,4,No,66,Philippines,22,7.70
6386,3,4,No,9,Malaysia,18,6.30
6387,3,4,No,46,China,50,17.50
6388,3,3,No,78,Japan,45,15.75
6389,12,1,No,128,Thailand,29,9.57
6390,10,3,No,10,Malaysia,29,10.15
6391,10,3,No,23,China,40,14.00
6392,10,13,No,121,Cambodia,14,4.94
6393,10,13,No,121,Cambodia,14,4.94
6394,10,13,No,106,Philippines,6,1.97
6395,6,7,No,2,Singapore,17,4.31
6396,6,7,No,4,Singapore,23,5.85
6397,6,7,No,9,Singapore,15,3.74
6398,6,7,No,3,Singapore,18,4.39
6399,6,8,No,2,Singapore,21,5.25
6400,6,8,No,59,Singapore,89,22.23
6401,6,8,No,59,Singapore,89,22.23
6402,6,8,No,3,Singapore,20,4.88
6403,6,8,No,10,Singapore,47,11.72
6404,6,14,No,33,Singapore,54,13.50
6405,6,9,No,406,Singapore,253,63.21
6406,2,2,No,8,Australia,69,41.58
6407,2,2,No,8,Australia,50,29.70
6408,2,2,No,9,Italy,59,35.64
6409,2,2,No,7,Australia,69,41.58
6410,2,2,No,11,Australia,50,29.70
6411,2,2,No,6,Malaysia,40,23.76
6412,2,2,No,141,Portugal,79,47.52
6413,2,2,No,9,Portugal,79,47.52
6414,2,2,No,23,Malaysia,188,112.86
6415,2,2,No,21,Thailand,79,47.52
6416,2,2,No,35,Malaysia,40,23.76
6417,2,2,No,17,Malaysia,30,17.82
6418,2,2,No,11,United Arab Emirates,50,29.70
6419,2,2,No,111,New Zealand,40,23.76
6420,2,2,No,115,Australia,79,47.52
6421,2,2,No,110,Australia,79,47.52
6422,2,2,No,52,Malaysia,30,17.82
6423,2,2,No,5,Australia,30,17.82
6424,2,2,No,7,Australia,69,41.58
6425,5,6,No,21,Australia,46,0.00
6426,5,6,No,18,Turkey,60,0.00
6427,5,6,No,113,Australia,50,0.00
6428,5,6,No,49,Philippines,39,0.00
6429,5,6,No,60,Hong Kong,39,0.00
6430,5,6,No,22,Singapore,20,0.00
6431,5,6,No,10,Myanmar,20,0.00
6432,5,6,No,34,Thailand,20,0.00
6433,5,6,No,15,Singapore,20,0.00
6434,5,6,No,40,China,29,0.00
6435,5,6,No,40,China,27,0.00
6436,5,6,No,2,Thailand,25,0.00
6437,5,6,No,3,Malaysia,31,0.00
6438,5,6,No,90,India,33,0.00
6439,5,6,No,19,China,46,0.00
6440,5,6,No,19,Philippines,21,0.00
6441,5,6,No,32,Philippines,20,0.00
6442,5,6,No,19,Thailand,20,0.00
6443,5,6,No,7,Taiwan,44,0.00
6444,5,6,No,23,Thailand,20,0.00
6445,5,6,No,29,Malaysia,20,0.00
6446,5,6,No,66,Brazil,112,0.00
6447,5,6,No,67,China,20,0.00
6448,5,6,No,23,Hong Kong,31,0.00
6449,5,6,No,53,Philippines,30,0.00
6450,5,6,No,34,Vietnam,0,0.00
6451,5,6,No,30,Kuwait,42,0.00
6452,5,6,No,32,Malaysia,20,0.00
6453,5,6,No,41,Hong Kong,27,0.00
6454,5,6,No,65,Japan,83,0.00
6455,5,6,No,9,Thailand,21,0.00
6456,5,6,No,20,Indonesia,20,0.00
6457,5,6,No,23,China,38,0.00
6458,5,6,No,23,Singapore,20,0.00
6459,5,6,No,38,Korea,84,0.00
6460,5,6,No,18,Malaysia,20,0.00
6461,5,6,No,69,Sri Lanka,53,0.00
6462,5,6,No,4,Malaysia,20,0.00
6463,5,6,No,7,Philippines,29,0.00
6464,5,10,No,22,Thailand,18,0.00
6465,5,10,No,80,United Kingdom,79,0.00
6466,5,10,No,4,Australia,47,0.00
6467,5,10,No,12,Indonesia,12,0.00
6468,5,10,No,27,Philippines,21,0.00
6469,5,10,No,10,Philippines,10,0.00
6470,5,10,No,8,Netherlands,80,0.00
6471,5,10,No,207,Canada,80,0.00
6472,5,10,No,164,Austria,14,0.00
6473,5,10,No,5,Indonesia,80,0.00
6474,5,10,No,7,Thailand,17,0.00
6475,5,10,No,13,Germany,15,0.00
6476,5,10,No,30,Lao,19,0.00
6477,5,10,No,6,Netherlands,26,0.00
6478,5,10,No,51,United States,80,0.00
